"initial_creation_date","last_change_date","material","material_9","material_7","ai","mat_description","mat_description_eng","plant","planner","replenishment_type","rounding_value","lot_size","minimum_lot_size","safety_time_days","safety_time_ind","leadtime_hours","planning_time_fence","planned_delivery_time","safety_stock","unit_of_quantity","length","width","height","uom_lwh","volume","unit_of_volume","gross_weight","net_weight","unit_of_weight","stacking_factor","material_group","run_out_date","proc_type","part_type","character","init_upg","init_use_type","procurement_type","storage_location","bwd_consumption_per","fwd_consumption_per","pps_planning_calendar","factory_calendar","mrp_group","mixed_mrp","strategy_group","consumption_mode","abc_indicator","spab_indicator","status","status_valid_from","bulk_material","omb_part","warehouse_number","storage_type_stock_placement","storage_type_stock_removement","release","release_date","release_type","release_action_code","active_material","plant_calendar","document_number","sid_client","snapdate","snaptimestamp","load_date","load_timestamp","_load_date"
"2016-11-29","2021-07-06","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000806047284","MCPCLNT001","2021-07-08","2021-07-08 12:53:36.000","2021-07-15","2021-07-15 23:03:56.000","2021-07-15"
"2016-11-29","2020-12-28","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST FIELD 40MM","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000756641542","MCPCLNT001","2021-01-14","2021-01-14 07:37:28.000","2021-05-24","2021-05-24 19:32:54.000","2021-05-24"
"2016-11-29","2021-01-23","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000768570315","MCPCLNT001","2021-03-01","2021-03-01 13:59:34.000","2021-05-24","2021-05-24 19:14:44.000","2021-05-24"
"2016-11-29","2021-01-23","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000768570315","MCPCLNT001","2021-03-01","2021-03-01 13:59:34.000","2021-05-24","2021-05-24 19:14:44.000","2021-05-24"
"2016-11-29","2021-07-06","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000806047284","MCPCLNT001","2021-07-08","2021-07-08 12:53:36.000","2021-07-15","2021-07-15 23:03:56.000","2021-07-15"
"2016-11-29","2020-12-28","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST FIELD 40MM","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000756641542","MCPCLNT001","2021-01-14","2021-01-14 07:37:28.000","2021-05-24","2021-05-24 19:32:54.000","2021-05-24"
"2016-11-29","2021-07-16","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000808643024","MCPCLNT001","2021-07-17","2021-07-17 04:00:59.000","2021-07-18","2021-07-18 23:04:29.000","2021-07-18"
"2016-11-29","2021-07-16","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000808643024","MCPCLNT001","2021-07-17","2021-07-17 04:00:59.000","2021-07-18","2021-07-18 23:04:29.000","2021-07-18"
"2016-11-29","2021-08-17","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000817947058","MCPCLNT001","2021-08-18","2021-08-18 04:00:34.000","2021-08-18","2021-08-18 09:02:46.000","2021-08-18"
"2016-11-29","2021-11-29","7469879-02","746987902","7469879","02","DISTANZSTUECK SITZVERSTELLFELD 40MM","SPACER SEAT ADJUST.FIELD 40MM","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","7.0000","7.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"105","","",,,,,,,"0000000848409344","MCPCLNT001","2021-11-30","2021-11-30 04:00:55.000","2021-11-30","2021-11-30 10:02:34.000","2021-11-30"
