"initial_creation_date","last_change_date","material","material_9","material_7","ai","mat_description","mat_description_eng","plant","planner","replenishment_type","rounding_value","lot_size","minimum_lot_size","safety_time_days","safety_time_ind","leadtime_hours","planning_time_fence","planned_delivery_time","safety_stock","unit_of_quantity","length","width","height","uom_lwh","volume","unit_of_volume","gross_weight","net_weight","unit_of_weight","stacking_factor","material_group","run_out_date","proc_type","part_type","character","init_upg","init_use_type","procurement_type","storage_location","bwd_consumption_per","fwd_consumption_per","pps_planning_calendar","factory_calendar","mrp_group","mixed_mrp","strategy_group","consumption_mode","abc_indicator","spab_indicator","status","status_valid_from","bulk_material","omb_part","warehouse_number","storage_type_stock_placement","storage_type_stock_removement","release","release_date","release_type","release_action_code","active_material","plant_calendar","document_number","sid_client","snapdate","snaptimestamp","load_date","load_timestamp","_load_date"
"2014-04-11","2021-07-25","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","","",,"","","A","D2","0000002987874158","PTDP010","2021-07-25","2021-07-25 05:00:28.000","2021-07-25","2021-07-25 04:03:03.000","2021-07-25"
"2014-04-11","2021-07-23","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","B","2014-10-06","",,"240","","","",,"","","A","D2","0000002986953293","PTDP010","2021-07-23","2021-07-23 09:30:52.000","2021-07-23","2021-07-23 08:03:26.000","2021-07-23"
"2014-04-11","2021-12-14","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","","",,"","","A","D2","0000003126684843","PTDP010","2021-12-14","2021-12-14 09:30:26.000","2021-12-14","2021-12-14 09:02:11.000","2021-12-14"
"2014-04-11","2021-12-07","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","","",,"","","A","D2","0000003118175535","PTDP010","2021-12-07","2021-12-07 17:30:18.000","2021-12-07","2021-12-07 17:01:30.000","2021-12-07"
"2014-04-11","2021-11-29","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","","",,"","","A","D2","0000003107789596","PTDP010","2021-11-29","2021-11-29 14:50:25.000","2021-11-29","2021-11-29 14:01:28.000","2021-11-29"
"2017-05-26","2021-07-16","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000808642438","MCPCLNT001","2021-07-17","2021-07-17 04:00:40.000","2021-07-18","2021-07-18 23:04:14.000","2021-07-18"
"2017-05-26","2021-07-16","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000808642438","MCPCLNT001","2021-07-17","2021-07-17 04:00:40.000","2021-07-18","2021-07-18 23:04:14.000","2021-07-18"
"2017-05-26","2021-11-29","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"105","","",,,,,,,"0000000848409103","MCPCLNT001","2021-11-30","2021-11-30 04:00:47.000","2021-11-30","2021-11-30 10:02:51.000","2021-11-30"
"2014-04-11","2021-08-17","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE",,"A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","G","2014-10-06","",,"240","","","",,"","","A","D2","0000003003445193","PTDP010","2021-08-17","2021-08-17 14:10:10.000","2021-08-17","2021-08-17 13:02:49.000","2021-08-17"
"2017-05-26","2021-11-29","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","3.0000","3.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","C",,"S",,"",,"202","","",,,,,,,"0000000848409103","MCPCLNT001","2021-11-30","2021-11-30 04:00:47.000","2021-11-30","2021-11-30 10:02:51.000","2021-11-30"
"2014-04-11","2021-07-24","7410477-01","741047701","7410477","01","MD KLAMMER FEDERMATTE BK2","MDL BRACKET SPRING MAT BK2","A120","766","S0","0.0000","EX","0.0000","","","0","1","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.0030","0.0030","KGM","0","Z_SERIE","2021-07-24","A","E","P","5210","G12","F","6000","0","0","",,"ZPRD","","","","","G","A","2014-10-06","",,"240","","","",,"","","A","D2","0000002987595535","PTDP010","2021-07-24","2021-07-24 05:00:46.000","2021-07-24","2021-07-24 04:03:54.000","2021-07-24"
