"initial_creation_date","last_change_date","material","material_9","material_7","ai","mat_description","mat_description_eng","plant","planner","replenishment_type","rounding_value","lot_size","minimum_lot_size","safety_time_days","safety_time_ind","leadtime_hours","planning_time_fence","planned_delivery_time","safety_stock","unit_of_quantity","length","width","height","uom_lwh","volume","unit_of_volume","gross_weight","net_weight","unit_of_weight","stacking_factor","material_group","run_out_date","proc_type","part_type","character","init_upg","init_use_type","procurement_type","storage_location","bwd_consumption_per","fwd_consumption_per","pps_planning_calendar","factory_calendar","mrp_group","mixed_mrp","strategy_group","consumption_mode","abc_indicator","spab_indicator","status","status_valid_from","bulk_material","omb_part","warehouse_number","storage_type_stock_placement","storage_type_stock_removement","release","release_date","release_type","release_action_code","active_material","plant_calendar","document_number","sid_client","snapdate","snaptimestamp","load_date","load_timestamp","_load_date"
"2020-05-13","2021-06-15","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","A1CS","","KD","0.0000","","0.0000","","","0","0","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","","0","0","",,"","","","","","","N",,"",,,,,"",,"","","","","0000000296299630","PTGP010","2021-06-15","2021-06-15 13:01:08.000","2021-06-15","2021-06-15 18:02:28.000","2021-06-15"
"2020-05-13","2021-06-15","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","CX30","309","S1","8.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000296299630","PTGP010","2021-06-15","2021-06-15 13:01:08.000","2021-06-15","2021-06-15 18:02:28.000","2021-06-15"
"2020-05-13","2021-06-15","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","CX30","309","S1","8.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000296301232","PTGP010","2021-06-15","2021-06-15 13:01:41.000","2021-06-15","2021-06-15 18:02:30.000","2021-06-15"
"2020-05-13","2021-03-25","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","A1CS","","KD","0.0000","","0.0000","","","0","0","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","","0","0","",,"","","","","","","N",,"",,,,,"",,"","","","","0000000276944666","PTGP010","2021-03-25","2021-03-25 21:50:06.000","2021-05-25","2021-05-25 03:21:08.000","2021-05-25"
"2020-05-13","2021-03-25","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","CX30","312","S1","8.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000276944666","PTGP010","2021-03-25","2021-03-25 21:50:06.000","2021-05-25","2021-05-25 03:21:08.000","2021-05-25"
"2020-05-13","2021-03-25","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","CX30","312","S1","8.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000276943366","PTGP010","2021-03-25","2021-03-25 21:10:05.000","2021-05-25","2021-05-25 03:21:04.000","2021-05-25"
"2020-05-13","2021-03-25","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","A1CS","","KD","0.0000","","0.0000","","","0","0","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","","0","0","",,"","","","","","","N",,"",,,,,"",,"","","","","0000000276943366","PTGP010","2021-03-25","2021-03-25 21:10:05.000","2021-05-25","2021-05-25 03:21:04.000","2021-05-25"
"2018-11-14","2021-07-16","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","253.0000","253.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"105","","",,,,,,,"0000000808643600","MCPCLNT001","2021-07-17","2021-07-17 04:01:16.000","2021-07-18","2021-07-18 23:04:50.000","2021-07-18"
"2018-11-14","2021-07-16","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","253.0000","253.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"202","","",,,,,,,"0000000808643600","MCPCLNT001","2021-07-17","2021-07-17 04:01:16.000","2021-07-18","2021-07-18 23:04:50.000","2021-07-18"
"2020-05-13","2021-07-19","7497989-09","749798909","7497989","09","MD LI BLENDE SITZ AUSSEN 15 SCHWARZ","MDL LH FINISHER SEAT OUTSIDE 15 BLACK","CX30","309","S1","8.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.2540","0.2540","KGM","0","Z_SERIE",,"A","Z","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000304106482","PTGP010","2021-07-19","2021-07-19 22:41:46.000","2021-07-20","2021-07-20 03:03:44.000","2021-07-20"
