"initial_creation_date","last_change_date","material","material_9","material_7","ai","mat_description","mat_description_eng","plant","planner","replenishment_type","rounding_value","lot_size","minimum_lot_size","safety_time_days","safety_time_ind","leadtime_hours","planning_time_fence","planned_delivery_time","safety_stock","unit_of_quantity","length","width","height","uom_lwh","volume","unit_of_volume","gross_weight","net_weight","unit_of_weight","stacking_factor","material_group","run_out_date","proc_type","part_type","character","init_upg","init_use_type","procurement_type","storage_location","bwd_consumption_per","fwd_consumption_per","pps_planning_calendar","factory_calendar","mrp_group","mixed_mrp","strategy_group","consumption_mode","abc_indicator","spab_indicator","status","status_valid_from","bulk_material","omb_part","warehouse_number","storage_type_stock_placement","storage_type_stock_removement","release","release_date","release_type","release_action_code","active_material","plant_calendar","document_number","sid_client","snapdate","snaptimestamp","load_date","load_timestamp","_load_date"
"2017-12-16","2021-07-16","7493063-03","749306303","7493063","03","BLENDE SITZ VORN ELE SCHWARZ","FINISHER SEAT FRT ELE BLACK","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","105.0000","105.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"202","","",,,,,,,"0000000808643350","MCPCLNT001","2021-07-17","2021-07-17 04:01:11.000","2021-07-18","2021-07-18 23:04:15.000","2021-07-18"
"2017-12-16","2021-07-16","7493063-03","749306303","7493063","03","BLENDE SITZ VORN ELE SCHWARZ","FINISHER SEAT FRT ELE BLACK","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","105.0000","105.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"105","","",,,,,,,"0000000808643350","MCPCLNT001","2021-07-17","2021-07-17 04:01:11.000","2021-07-18","2021-07-18 23:04:15.000","2021-07-18"
"2017-12-16","2021-01-12","7493063-03","749306303","7493063","03","BLENDE SITZ VORN ELE SW","FIN ST F ELE SW","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","105.0000","105.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"105","","",,,,,,,"0000000768582739","MCPCLNT001","2021-03-01","2021-03-01 14:09:41.000","2021-05-24","2021-05-24 19:22:25.000","2021-05-24"
"2017-12-16","2021-01-12","7493063-03","749306303","7493063","03","BLENDE SITZ VORN ELE SW","FIN ST F ELE SW","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","105.0000","105.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","B",,"S",,"",,"202","","",,,,,,,"0000000756643201","MCPCLNT001","2021-01-14","2021-01-14 07:38:41.000","2021-05-24","2021-05-24 19:34:13.000","2021-05-24"
"2017-12-16","2021-01-12","7493063-03","749306303","7493063","03","BLENDE SITZ VORN ELE SW","FIN ST F ELE SW","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","105.0000","105.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","B",,"S",,"",,"105","","",,,,,,,"0000000756643201","MCPCLNT001","2021-01-14","2021-01-14 07:38:41.000","2021-05-24","2021-05-24 19:34:13.000","2021-05-24"
"2017-12-16","2021-01-12","7493063-03","749306303","7493063","03","BLENDE SITZ VORN ELE SW","FIN ST F ELE SW","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","105.0000","105.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"202","","",,,,,,,"0000000768582739","MCPCLNT001","2021-03-01","2021-03-01 14:09:41.000","2021-05-24","2021-05-24 19:22:25.000","2021-05-24"
