"initial_creation_date","last_change_date","material","material_9","material_7","ai","mat_description","mat_description_eng","plant","planner","replenishment_type","rounding_value","lot_size","minimum_lot_size","safety_time_days","safety_time_ind","leadtime_hours","planning_time_fence","planned_delivery_time","safety_stock","unit_of_quantity","length","width","height","uom_lwh","volume","unit_of_volume","gross_weight","net_weight","unit_of_weight","stacking_factor","material_group","run_out_date","proc_type","part_type","character","init_upg","init_use_type","procurement_type","storage_location","bwd_consumption_per","fwd_consumption_per","pps_planning_calendar","factory_calendar","mrp_group","mixed_mrp","strategy_group","consumption_mode","abc_indicator","spab_indicator","status","status_valid_from","bulk_material","omb_part","warehouse_number","storage_type_stock_placement","storage_type_stock_removement","release","release_date","release_type","release_action_code","active_material","plant_calendar","document_number","sid_client","snapdate","snaptimestamp","load_date","load_timestamp","_load_date"
"2020-05-13","2021-10-28","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","CX30","312","S1","80.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000325892333","PTGP010","2021-10-28","2021-10-28 10:40:04.000","2021-10-28","2021-10-28 15:02:20.000","2021-10-28"
"2020-05-13","2021-10-28","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","A1CS","","KD","0.0000","","0.0000","","","0","0","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","","0","0","",,"","","","","","","N",,"",,,,,"",,"","","","","0000000325892333","PTGP010","2021-10-28","2021-10-28 10:40:04.000","2021-10-28","2021-10-28 15:02:20.000","2021-10-28"
"2018-02-13","2021-07-06","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","148.0000","148.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"202","","",,,,,,,"0000000806061398","MCPCLNT001","2021-07-08","2021-07-08 14:33:04.000","2021-07-16","2021-07-16 01:04:51.000","2021-07-16"
"2020-05-13","2021-10-28","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","CX30","312","S1","80.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000325892048","PTGP010","2021-10-28","2021-10-28 10:35:04.000","2021-10-28","2021-10-28 15:02:20.000","2021-10-28"
"2018-02-13","2021-07-06","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","148.0000","148.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","B",,"S",,"",,"105","","",,,,,,,"0000000806061398","MCPCLNT001","2021-07-08","2021-07-08 14:33:04.000","2021-07-16","2021-07-16 01:04:51.000","2021-07-16"
"2020-05-13","2021-11-02","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","CX30","312","S1","60.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000326849149","PTGP010","2021-11-02","2021-11-02 09:31:01.000","2021-11-02","2021-11-02 14:02:34.000","2021-11-02"
"2020-05-13","2021-11-02","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","A1CS","","KD","0.0000","","0.0000","","","0","0","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","","0","0","",,"","","","","","","N",,"",,,,,"",,"","","","","0000000326847495","PTGP010","2021-11-02","2021-11-02 09:40:04.000","2021-11-02","2021-11-02 14:02:30.000","2021-11-02"
"2020-05-13","2021-11-02","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","CX30","312","S1","60.0000","PK","0.0000","030","2","0","3","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,"",,"","","","C3","0000000326847495","PTGP010","2021-11-02","2021-11-02 09:40:04.000","2021-11-02","2021-11-02 14:02:30.000","2021-11-02"
"2020-05-13","2020-11-04","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","A1CS","","KD","0.0000","","0.0000","","","0","0","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","","0","0","",,"","","","","","","N",,"",,,,,"",,"","","","","0000000246991506","PTGP010","2020-11-04","2020-11-04 07:40:06.000","2021-05-24","2021-05-24 19:12:38.000","2021-05-24"
"2020-05-13","2020-09-16","7494348-04","749434804","7494348","04","RE BLENDE OBERSCHIENE VORN SCHWARZ","RH FINISHER UPPER RAIL FRT BLACK","CX30","910","S1","60.0000","PK","0.0000","050","2","0","2","0","0.0000","PCE","0.0000","0.0000","0.0000","","0.0000","","0.1580","0.1580","KGM","0","Z_SERIE",,"A","E","PF","5210","G05","F","1402","0","0","009",,"ZPRD","","","","","","N",,"",,,,,,,,,,,"0000000237266500","PTGP010","2020-09-16","2020-09-16 14:01:11.000","2021-05-24","2021-05-24 19:13:14.000","2021-05-24"
