"initial_creation_date","last_change_date","material","material_9","material_7","ai","mat_description","mat_description_eng","plant","planner","replenishment_type","rounding_value","lot_size","minimum_lot_size","safety_time_days","safety_time_ind","leadtime_hours","planning_time_fence","planned_delivery_time","safety_stock","unit_of_quantity","length","width","height","uom_lwh","volume","unit_of_volume","gross_weight","net_weight","unit_of_weight","stacking_factor","material_group","run_out_date","proc_type","part_type","character","init_upg","init_use_type","procurement_type","storage_location","bwd_consumption_per","fwd_consumption_per","pps_planning_calendar","factory_calendar","mrp_group","mixed_mrp","strategy_group","consumption_mode","abc_indicator","spab_indicator","status","status_valid_from","bulk_material","omb_part","warehouse_number","storage_type_stock_placement","storage_type_stock_removement","release","release_date","release_type","release_action_code","active_material","plant_calendar","document_number","sid_client","snapdate","snaptimestamp","load_date","load_timestamp","_load_date"
"2017-05-04","2021-07-16","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"105","","",,,,,,,"0000000808643315","MCPCLNT001","2021-07-17","2021-07-17 04:01:10.000","2021-07-18","2021-07-18 23:04:10.000","2021-07-18"
"2017-05-04","2021-07-16","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"202","","",,,,,,,"0000000808643315","MCPCLNT001","2021-07-17","2021-07-17 04:01:10.000","2021-07-18","2021-07-18 23:04:10.000","2021-07-18"
"2017-05-04","2020-12-28","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","D",,"S",,"",,"105","","",,,,,,,"0000000756643117","MCPCLNT001","2021-01-14","2021-01-14 07:38:38.000","2021-05-24","2021-05-24 19:34:06.000","2021-05-24"
"2017-05-04","2021-09-03","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MF-ST/SPORT W ST-HTG","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","35.0000","35.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"105","","",,,,,,,"0000000822969055","MCPCLNT001","2021-09-04","2021-09-04 04:00:31.000","2021-09-04","2021-09-04 09:02:05.000","2021-09-04"
"2017-05-04","2021-09-03","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MF-ST/SPORT W ST-HTG","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","35.0000","35.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"202","","",,,,,,,"0000000822969055","MCPCLNT001","2021-09-04","2021-09-04 04:00:31.000","2021-09-04","2021-09-04 09:02:05.000","2021-09-04"
"2017-05-04","2020-12-28","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","",,"","","","","D",,"S",,"",,"202","","",,,,,,,"0000000756643117","MCPCLNT001","2021-01-14","2021-01-14 07:38:38.000","2021-05-24","2021-05-24 19:34:06.000","2021-05-24"
"2017-05-04","2020-12-28","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"202","","",,,,,,,"0000000768582315","MCPCLNT001","2021-03-01","2021-03-01 14:09:30.000","2021-05-24","2021-05-24 19:28:45.000","2021-05-24"
"2017-05-04","2020-12-28","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"105","","",,,,,,,"0000000768582315","MCPCLNT001","2021-03-01","2021-03-01 14:09:30.000","2021-05-24","2021-05-24 19:28:45.000","2021-05-24"
"2017-05-04","2021-10-07","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MF-ST/SPORT W ST-HTG","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","35.0000","35.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"202","","",,,,,,,"0000000832860893","MCPCLNT001","2021-10-08","2021-10-08 04:00:48.000","2021-10-08","2021-10-08 09:02:58.000","2021-10-08"
"2017-05-04","2021-10-07","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MF-ST/SPORT W ST-HTG","MC10","145","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","35.0000","35.0000","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"105","","",,,,,,,"0000000832860893","MCPCLNT001","2021-10-08","2021-10-08 04:00:48.000","2021-10-08","2021-10-08 09:02:58.000","2021-10-08"
"2017-05-04","2021-07-06","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"105","","",,,,,,,"0000000806060457","MCPCLNT001","2021-07-08","2021-07-08 14:24:46.000","2021-07-16","2021-07-16 00:05:29.000","2021-07-16"
"2017-05-04","2021-07-06","7490590-01","749059001","7490590","01","MD KLEINTEILE MFS/SPORT MIT SHZ","MDL SMALL PARTS MFS/SPT W ST-HTG","MC10","048","PD","0.0000","TB","0.0000","00","",,"1","1","0.0000","EA","0.0000","0.0000","0.0000","","0.0000","","0.0010","0.0010","GRM","0","PRODPART",,,,,,,"F","","0","0","A0",,"","","","","D",,"S",,"",,"202","","",,,,,,,"0000000806060457","MCPCLNT001","2021-07-08","2021-07-08 14:24:46.000","2021-07-16","2021-07-16 00:05:29.000","2021-07-16"
